Model,New,Old,Diff.
3853,3.3954,4.3962,1.0007
6478,54.5436,53.5422,1.0014
6332,54.5436,53.5422,1.0014
9267,74.1444,73.1401,1.0042
9477,74.1444,73.1401,1.0042
1426,2.7375,3.7421,1.0045
7813,200.5112,199.5054,1.0057
7449,200.5112,199.5054,1.0057
10190,33.3616,34.3687,1.0071
10187,33.3616,34.3687,1.0071
9654,89.0895,88.082,1.0074
9653,89.0895,88.082,1.0074
12956,34.6512,33.6433,1.0079
18243,3.9308,4.9389,1.008
6927,81.7491,82.7583,1.0091
6863,81.7491,82.7583,1.0091
14560,17.0797,16.0697,1.01
6256,45.5426,46.554,1.0114
6133,45.5426,46.554,1.0114
3355,13.4076,14.4194,1.0117
3357,13.4076,14.4194,1.0117
1479,3.9492,4.9614,1.0121
8886,6.7191,7.7316,1.0124
8962,6.7191,7.7316,1.0124
7923,13.891,14.9043,1.0132
17684,92.0664,91.0481,1.0183
17721,92.0664,91.0481,1.0183
18008,17.6748,16.6559,1.0189
5207,36.9284,37.9473,1.0189
5181,36.9284,37.9473,1.0189
5262,6.9546,7.9741,1.0194
6425,73.1021,72.0823,1.0197
6311,73.1021,72.0823,1.0197
17061,18.6072,17.586,1.0212
17353,18.6072,17.586,1.0212
18608,7.9058,8.9273,1.0214
16322,5.6078,6.6293,1.0214
8961,6.7097,7.7315,1.0218
8885,6.7097,7.7315,1.0218
10514,60.0574,61.0796,1.0221
10431,60.0574,61.0796,1.0221
13159,186.3722,185.348,1.0241
13156,186.3722,185.348,1.0241
906,4.6345,3.6091,1.0254
4734,59.4706,58.4442,1.0264
4753,59.4706,58.4442,1.0264
17751,39.7839,38.7572,1.0266
17551,39.7839,38.7572,1.0266
3744,10.865,11.8919,1.0269
3574,10.865,11.8919,1.0269
6525,10.8838,11.9109,1.0271
6296,10.8838,11.9109,1.0271
7073,16.7917,15.7642,1.0274
12867,150.086,149.0583,1.0277
13359,150.086,149.0583,1.0277
16571,38.7672,37.7392,1.0279
